,PRODUTC,VALUE,DATETIME,DW_A_NUMBER_INT,DW_B_NUMBER_INT,CELL_ID,SITE_ID,PRODUCT,DATE_TIME,DW_A_NUMBER,DW_B_NUMBER,CELLID,SIET_ID
31,sms,0,2012-05-06 23:12:45.0,68ec294ea33925a,35d1617eb07cfbd,0nabagle1r,0nabagle1r,,,,,,
32,Voice,99,2012-05-06 23:13:03.0,b3944e04b20094c,3f1bbb086396478,/u0FSD+ahi,/u0FSD+ahi,,,,,,
33,data,0,2012-05-06 23:13:05.0,0fd250fbfa13e35,5a4dc9e82deb309,+pZNtCvhmT,+pZNtCvhmT,,,,,,
34,sms,0,2012-05-06 23:13:09.0,9fd3fa5a17daf4b,961e7b6cbac744d,0MZBLLzPYZ,0MZBLLzPYZ,,,,,,
35,Voice,0,2012-05-06 23:13:13.0,252aa99ab878f94,19e68e80103885e,/kxqxDGV0Z,/kxqxDGV0Z,,,,,,
36,Voice,12,2012-05-06 23:13:23.0,83b900a619f705e,ee36bac8c42e2a0,4506CmswTv,4506CmswTv,,,,,,
37,Voice,0,2012-05-06 23:13:30.0,7eed97ed1f49805,04fcb7a2ddfa114,/+cKZKIp41,/+cKZKIp41,,,,,,
38,Voice,24,2012-05-06 23:13:41.0,f18d8c4d2650b28,f191d414e19b647,/vLAMOS+Qm,/vLAMOS+Qm,,,,,,
39,Voice,0,2012-05-06 23:13:45.0,493d46f989df544,19e68e80103885e,0nabagle1r,0nabagle1r,,,,,,
40,data,0,2012-05-06 23:13:59.0,ca7e0aacd143f2c,5a4dc9e82deb309,1DLa1Gsiik,1DLa1Gsiik,,,,,,
41,Voice,1610,2012-05-06 23:14:03.0,b2b3dbfe5ce4bc1,5bd824717c81913,47yB6si0R9,47yB6si0R9,,,,,,
42,Voice,0,2012-05-06 23:14:08.0,36ce4d9e29bfdbb,627f696d781c521,0K+IDi1yjl,0K+IDi1yjl,,,,,,
43,data,0,2012-05-06 23:14:20.0,9c91f5f17d98d25,5a4dc9e82deb309,051KhYDCpv,051KhYDCpv,,,,,,
44,sms,0,2012-05-06 23:14:40.0,d6dec69142f5f5a,679f88c531065ba,0eNnL1pokg,0eNnL1pokg,,,,,,
45,data,0,2012-05-06 23:15:04.0,ae42b2028567b5d,5a4dc9e82deb309,+laSrk7g6q,+laSrk7g6q,,,,,,
46,data,0,2012-05-06 23:15:04.0,a45bebd9e2b19a5,5a4dc9e82deb309,/eeMklgyJA,/eeMklgyJA,,,,,,
47,data,0,2012-05-06 23:15:09.0,cb8f0c91086fadd,5a4dc9e82deb309,+gQ2AvXjaO,+gQ2AvXjaO,,,,,,
48,Voice,14,2012-05-06 23:15:34.0,93f049b70a6385e,3999882b87379e2,35gi1DzgNK,35gi1DzgNK,,,,,,
49,Voice,152,2012-05-06 23:15:41.0,181fd413bd05a41,efdd10a06033e4a,54Pb8dz/52,54Pb8dz/52,,,,,,
50,Voice,138,2012-05-06 23:15:44.0,a7bdf6a50f8f847,66883e332453e1a,+38u2u/rfx,+38u2u/rfx,,,,,,
51,sms,0,2012-05-06 23:15:44.0,604372755943531,06817148de3ca32,+pZNtCvhmT,+pZNtCvhmT,,,,,,
52,Voice,30,2012-05-06 23:15:46.0,cc4f76d42d5a21f,2d6397576ae9152,1AX75JmPtt,1AX75JmPtt,,,,,,
53,sms,0,2012-05-06 23:15:48.0,afd684b4cffdee7,319a2143a4191d9,5RMks2Nhbt,5RMks2Nhbt,,,,,,
54,sms,0,2012-05-06 23:15:58.0,92d0003b1405a09,a167135c140a545,5RMks2Nhbt,5RMks2Nhbt,,,,,,
55,sms,0,2012-05-06 23:16:00.0,ecc5a1a16d86e83,0b02b98799ce11f,5bFHC1hRn8,5bFHC1hRn8,,,,,,
56,Voice,192,2012-05-06 23:16:02.0,daa196aae52640f,314143ad0d2f94b,0BRdojv2my,0BRdojv2my,,,,,,
57,sms,0,2012-05-06 23:16:05.0,4d4d215e2d934be,8f1eae9b235323f,+ZaaZozy/+,+ZaaZozy/+,,,,,,
58,Voice,0,2012-05-06 23:16:14.0,5adcd455399cdd8,ab5e1ede47a452e,2dmu2Iy1CX,2dmu2Iy1CX,,,,,,
59,Voice,0,2012-05-06 23:16:14.0,da76c9090f43e57,943a1edcb0b1241,51qrsXM+vt,51qrsXM+vt,,,,,,
60,Voice,0,2012-05-06 23:16:15.0,42fe0f47108cf94,ff17850074a3b9e,0MZBLLzPYZ,0MZBLLzPYZ,,,,,,
61,Voice,0,2012-05-06 23:16:42.0,6e3160f573cb5e7,cdcb1b47490a1eb,+gQ2AvXjaO,+gQ2AvXjaO,,,,,,
62,Voice,1,2012-05-06 23:16:52.0,e8990748d60e2b9,6a55cb848fb1f95,5lXcKLcxWE,5lXcKLcxWE,,,,,,
63,Voice,30,2012-05-06 23:16:54.0,6154eb39623c0fa,d1e1973bf3f5813,0DeimCpZOc,0DeimCpZOc,,,,,,
64,data,0,2012-05-06 23:17:02.0,e4e56cc9aef184a,5a4dc9e82deb309,3T/wsniMlZ,3T/wsniMlZ,,,,,,
65,Voice,2,2012-05-06 23:17:04.0,558120c4db30da4,2940e774bb5cc71,1mtIa2GRBc,1mtIa2GRBc,,,,,,
66,Voice,17,2012-05-06 23:17:07.0,380b266db76ef36,7d6200b049e82d9,/0LopuZdd7,/0LopuZdd7,,,,,,
67,sms,0,2012-05-06 23:17:09.0,b2709c518000035,1cb5baa42414c09,1JODMow6DN,1JODMow6DN,,,,,,
68,sms,0,2012-05-06 23:17:12.0,9938d2d3c72399e,15706a45bf23919,1DLa1Gsiik,1DLa1Gsiik,,,,,,
69,Voice,0,2012-05-06 23:17:15.0,6f19dbedcbc7adb,cb8f109b5c0db02,0MZBLLzPYZ,0MZBLLzPYZ,,,,,,
70,Voice,22,2012-05-06 23:17:26.0,6ef04af9aba7664,f0594085fa4dc29,6dZgOHeA29,6dZgOHeA29,,,,,,
71,data,20,2012-05-06 23:17:34.0,7a73858980301a4,5a4dc9e82deb309,+38u2u/rfx,+38u2u/rfx,,,,,,
72,Voice,21,2012-05-06 23:17:35.0,f106ca55f4a7d4d,16eb186c8eec862,3UXdSkM8V3,3UXdSkM8V3,,,,,,
73,Voice,21,2012-05-06 23:17:38.0,a59057f3ae5d93c,f48942a873250a9,60rBK3VnF7,60rBK3VnF7,,,,,,
74,Voice,27,2012-05-06 23:17:43.0,93e51bf562c41ed,1cbb833dfc260dc,4wcFwPWjZJ,4wcFwPWjZJ,,,,,,
75,sms,0,2012-05-06 23:17:58.0,0e80ff8bbb8a305,9a73be24b32e7f7,/eeMklgyJA,/eeMklgyJA,,,,,,
76,sms,0,2012-05-06 23:18:07.0,dcedf150f15b1d1,2268da7261a4954,18iJZATMMC,18iJZATMMC,,,,,,
77,Voice,16,2012-05-06 23:18:18.0,0f60d1525b456dd,e6eac19beeef28f,3u865XIo6c,3u865XIo6c,,,,,,
78,Voice,35,2012-05-06 23:18:24.0,3a78e2a3e1f554f,0c2dac3b4d8db53,3zwc9ry2i5,3zwc9ry2i5,,,,,,
79,sms,0,2012-05-06 23:18:35.0,9af3ad3c0ac209f,541c22fc455326b,2LuHm8D2MC,2LuHm8D2MC,,,,,,
80,sms,0,2012-05-06 23:18:41.0,fc29d09837d792a,aaaf0e4bdec7311,7ECXh+RvQZ,7ECXh+RvQZ,,,,,,
81,Voice,0,2012-05-06 23:18:47.0,745bbfd1f72cae8,dc241ca171f791d,4iv1FNJ67I,4iv1FNJ67I,,,,,,
82,Voice,201,2012-05-06 23:19:00.0,a49667cb69c38bf,27508193f23a09b,22Z3fM8uPX,22Z3fM8uPX,,,,,,
83,Voice,14,2012-05-06 23:19:04.0,113bfd52be7d647,f282d974e5d0b80,44o98M/wq3,44o98M/wq3,,,,,,
84,sms,0,2012-05-06 23:19:06.0,2097ee231e6607a,32433760a16d6a0,77XAFQmoad,77XAFQmoad,,,,,,
85,sms,0,2012-05-06 23:19:09.0,7c52cea484856d4,e4943767888b71e,35gi1DzgNK,35gi1DzgNK,,,,,,
86,Voice,0,2012-05-06 23:19:14.0,da45e1d1637ca27,00aa565e559b72c,01MDiY5F89,01MDiY5F89,,,,,,
87,Voice,74,2012-05-06 23:19:28.0,8d53d02164e224d,e8c3a722ce885d3,2cj/HbqLAV,2cj/HbqLAV,,,,,,
88,Voice,0,2012-05-06 23:19:30.0,22671dc72653a38,b22f97a97a5f14c,0/eYPFomxx,0/eYPFomxx,,,,,,
89,Voice,0,2012-05-06 23:19:30.0,31fd363604c4492,19e68e80103885e,3cVu6QQcZ6,3cVu6QQcZ6,,,,,,
90,Voice,0,2012-05-06 23:19:49.0,71b9974b00f24d2,fb3413b0c455588,2ygIBia4Re,2ygIBia4Re,,,,,,
91,sms,0,2012-05-06 23:19:59.0,cb6a02fde166b94,aaaf0e4bdec7311,+weksowKR7,+weksowKR7,,,,,,
92,sms,0,2012-05-06 23:20:28.0,03acafb19701ab5,e61ad60cd75d305,301gn/BrU5,301gn/BrU5,,,,,,
93,Voice,0,2012-05-06 23:20:47.0,a98edb163d40b7b,55ad144fa74fddc,+854AcBQT2,+854AcBQT2,,,,,,
94,Voice,31,2012-05-06 23:20:50.0,5f1885cff7736f9,628171e4aa59f04,4wcFwPWjZJ,4wcFwPWjZJ,,,,,,
95,sms,0,2012-05-06 23:21:20.0,2b3dd08f3b1bd5f,e09e736e46c5c3d,/MMplBlWjh,/MMplBlWjh,,,,,,
96,sms,0,2012-05-06 23:21:30.0,26bba173fb6c85a,2d4a359d7bc0c55,6KGV6b77hq,6KGV6b77hq,,,,,,
97,Voice,3,2012-05-06 23:21:31.0,57850d753b4fd91,99f718df6351c6e,8JgRZeFDVZ,8JgRZeFDVZ,,,,,,
98,Voice,38,2012-05-06 23:21:37.0,5c1e0cc5b8fd177,0903612915f5d06,2yuhUrSXQu,2yuhUrSXQu,,,,,,
99,data,0,2012-05-06 23:21:38.0,8dbee05f1afc0cf,5a4dc9e82deb309,2vqM21lFHK,2vqM21lFHK,,,,,,
100,sms,0,2012-05-06 23:21:39.0,3d4b2181dd017e8,aaaf0e4bdec7311,2aXXOLyR5M,2aXXOLyR5M,,,,,,
101,sms,0,2012-05-06 23:21:39.0,bf7d30ef33ca888,93343ba6e41af95,4Qx5kxOMvS,4Qx5kxOMvS,,,,,,
102,sms,0,2012-05-06 23:21:53.0,e5c2cc984ff1bc0,e09e736e46c5c3d,3K9ACMNajP,3K9ACMNajP,,,,,,
103,sms,0,2012-05-06 23:22:06.0,0eab4d27aaae9a1,0a03b9c3bea26b8,++ctND+jGD,++ctND+jGD,,,,,,
104,Voice,30,2012-05-06 23:22:12.0,39f91484dfd8b21,52b56561a0ed734,6i0cAvBgMU,6i0cAvBgMU,,,,,,
105,Voice,20,2012-05-06 23:22:19.0,0c326e06cd83685,5f8e3c173a5bae6,8GqjWcIWAp,8GqjWcIWAp,,,,,,
106,Voice,7,2012-05-06 23:22:29.0,2b5137576a90a4e,471eebae649387d,5HIw+QO+tV,5HIw+QO+tV,,,,,,
107,sms,0,2012-05-06 23:22:34.0,f17358661834989,134bbf8c92d93db,3mQAiRAfo7,3mQAiRAfo7,,,,,,
108,Voice,286,2012-05-06 23:22:39.0,9bb5fcaef72f1fe,1ceb523ce24ad33,40+2aJ4uAc,40+2aJ4uAc,,,,,,
109,sms,70,2012-05-06 23:22:41.0,30973cc5a6def6c,aabb5ec75adac4f,6/1Gti3zBg,6/1Gti3zBg,,,,,,
110,sms,0,2012-05-06 23:22:49.0,b742982e28cf064,66caa57592be89f,5RMks2Nhbt,5RMks2Nhbt,,,,,,
111,Voice,13,2012-05-06 23:22:57.0,3224e03c0529544,43e64335f205c10,5IfBEq1g5D,5IfBEq1g5D,,,,,,
112,Voice,0,2012-05-06 23:23:13.0,2a7a5f95ab3b0f0,b41bc0d22c6a6ab,54Pb8dz/52,54Pb8dz/52,,,,,,
113,sms,0,2012-05-06 23:23:16.0,1c412d42a13c1c1,64c999d0f55d5c6,0mXwALOFFi,0mXwALOFFi,,,,,,
114,Voice,30,2012-05-06 23:23:16.0,746a2877dd3618e,5a182b7ab3097b5,4pw2r6WOLL,4pw2r6WOLL,,,,,,
115,sms,0,2012-05-06 23:23:22.0,a7615a4f6f95093,6871dcd14e4331f,0nabagle1r,0nabagle1r,,,,,,
116,Voice,39,2012-05-06 23:23:30.0,e70865c15a25eec,740131bda41832e,4Y/9Swxhql,4Y/9Swxhql,,,,,,
117,Voice,138,2012-05-06 23:23:45.0,4c0d3021cf19c30,5a3b7380982f39a,2PbwFG2K9y,2PbwFG2K9y,,,,,,
118,Voice,0,2012-05-06 23:23:49.0,7e4fcd10d5e475d,b724a20f32a33e2,2PbwFG2K9y,2PbwFG2K9y,,,,,,
119,Voice,14,2012-05-06 23:24:00.0,b78a47161051bf5,9e9622206ec7d1a,A0Zx8a4rBD,A0Zx8a4rBD,,,,,,
120,sms,25,2012-05-06 23:24:05.0,68c0e4f9b768ef4,f9a86efb9c574fa,5RMks2Nhbt,5RMks2Nhbt,,,,,,
121,data,0,2012-05-06 23:24:07.0,4361335ecf93a47,5a4dc9e82deb309,5pIl0RaDmd,5pIl0RaDmd,,,,,,
122,sms,0,2012-05-06 23:24:12.0,39ab70b77d99ebf,7284650141a1b25,+laSrk7g6q,+laSrk7g6q,,,,,,
123,data,0,2012-05-06 23:24:12.0,4361335ecf93a47,5a4dc9e82deb309,5lXcKLcxWE,5lXcKLcxWE,,,,,,
124,Voice,0,2012-05-06 23:24:45.0,38d2f9c98430808,d9968332fd09cf3,+bO+qkSonO,+bO+qkSonO,,,,,,
125,sms,0,2012-05-06 23:24:51.0,6d10227297efcb9,7af76c2046e02f3,/vLAMOS+Qm,/vLAMOS+Qm,,,,,,
126,sms,0,2012-05-06 23:25:01.0,1d6e3dcef04e6d0,e09e736e46c5c3d,2yuhUrSXQu,2yuhUrSXQu,,,,,,
127,sms,0,2012-05-06 23:25:15.0,bd17c0f00f98563,dd0246186f87f0c,69PzMuWJR2,69PzMuWJR2,,,,,,
128,sms,0,2012-05-06 23:25:16.0,109fbb071cde1dc,c882419bfde72d2,+ZaaZozy/+,+ZaaZozy/+,,,,,,
129,sms,0,2012-05-06 23:25:43.0,a1f29bc719e68e6,7af76c2046e02f3,6wx/uwX8LG,6wx/uwX8LG,,,,,,
130,Voice,0,2012-05-06 23:25:50.0,fd2aeb27d16ccfd,bbdf90b74cc7e3c,6I6iMT9PAR,6I6iMT9PAR,,,,,,
131,sms,0,2012-05-06 23:25:53.0,e94825dce084409,aaaf0e4bdec7311,+laSrk7g6q,+laSrk7g6q,,,,,,
132,Voice,11,2012-05-06 23:25:57.0,f5d926493c663b2,f786fb8afb48706,6N2tX92Rn0,6N2tX92Rn0,,,,,,
133,Voice,0,2012-05-06 23:26:00.0,4db12f676790c4c,e59d8d980c555b6,5lXcKLcxWE,5lXcKLcxWE,,,,,,
134,Voice,1,2012-05-06 23:26:00.0,6f1a0116d5e0138,236c47c4ee5d10a,7ivh8SIq8X,7ivh8SIq8X,,,,,,
135,Voice,0,2012-05-06 23:26:05.0,6b93e8ba8ba2970,4f44c5a94421c18,2GgIN622rt,2GgIN622rt,,,,,,
136,Voice,53,2012-05-06 23:26:17.0,3b1846b035389a9,728f1ce4f2caa68,7ECXh+RvQZ,7ECXh+RvQZ,,,,,,
137,sms,25,2012-05-06 23:26:21.0,2e1c82e7ecf7ba4,6116f553d3ffdfc,8kPSO4xAwY,8kPSO4xAwY,,,,,,
138,Voice,0,2012-05-06 23:26:28.0,0e5cffb0c41a3ab,ef03ac1e8c72262,5bFHC1hRn8,5bFHC1hRn8,,,,,,
139,Voice,61,2012-05-06 23:26:33.0,bb163240c184445,32ffd2d39577ba9,4H/1KJoHPN,4H/1KJoHPN,,,,,,
140,Voice,11,2012-05-06 23:26:35.0,c07a36b46859c4b,63661a62aeb9370,A+qPfLMWEo,A+qPfLMWEo,,,,,,
141,Voice,0,2012-05-06 23:26:42.0,c127c7938c3c784,abd23c2a411ece3,32deIlH9L6,32deIlH9L6,,,,,,
142,Voice,28,2012-05-06 23:26:43.0,1cc3fdf579561e2,ab7094ec89b4240,4nmbKTjvfr,4nmbKTjvfr,,,,,,
143,sms,0,2012-05-06 23:27:00.0,c89e7946bd3b077,6661e1aaaf16d54,13HRN5dKgY,13HRN5dKgY,,,,,,
144,Voice,30,2012-05-06 23:27:07.0,3de61c2075d15cc,a38687e3f59cfe9,6X4+hML4kB,6X4+hML4kB,,,,,,
145,Voice,30,2012-05-06 23:27:08.0,87741c5bd373f84,6d6f743d76d674d,3zwc9ry2i5,3zwc9ry2i5,,,,,,
146,Voice,0,2012-05-06 23:27:10.0,08306de94541817,21cf3598b8705f2,77XAFQmoad,77XAFQmoad,,,,,,
147,sms,0,2012-05-06 23:27:10.0,d3a3773b0f5f17d,086fe7bca803ea4,7ECXh+RvQZ,7ECXh+RvQZ,,,,,,
148,Voice,0,2012-05-06 23:27:21.0,248de61e945d3a4,1a49f8b0ded9de6,BJBWybkIl8,BJBWybkIl8,,,,,,
149,Voice,49,2012-05-06 23:27:25.0,b98b68450360d41,56f140454991f03,4bv77IHLBw,4bv77IHLBw,,,,,,
150,sms,0,2012-05-06 23:27:29.0,a7b5cee5b759de0,aaaf0e4bdec7311,AG8APtQS4J,AG8APtQS4J,,,,,,
151,Voice,0,2012-05-06 23:27:33.0,1ceb22bf1d269d4,f81cf4e69cc29ae,4eA1+4uyTK,4eA1+4uyTK,,,,,,
152,Voice,0,2012-05-06 23:27:49.0,1c1e4e05ad4ccd7,576e2e9e0f64c88,84GaTlSvVd,84GaTlSvVd,,,,,,
153,Voice,0,2012-05-06 23:28:03.0,f8b6f912213183d,a69179112b7f84f,7OeLONGBwT,7OeLONGBwT,,,,,,
154,sms,0,2012-05-06 23:28:11.0,df763d440efdd77,3580631b6046c0a,++ctND+jGD,++ctND+jGD,,,,,,
155,sms,0,2012-05-06 23:28:12.0,5bc1392173563bb,158fac5b0923134,6/1Gti3zBg,6/1Gti3zBg,,,,,,
156,data,1,2012-05-06 23:28:13.0,ceba4026b2c1d50,5a4dc9e82deb309,1AX75JmPtt,1AX75JmPtt,,,,,,
157,sms,0,2012-05-06 23:28:30.0,f9425d2789370e0,11afe2a5aaa1cbf,0mXwALOFFi,0mXwALOFFi,,,,,,
158,Voice,0,2012-05-06 23:28:31.0,8289c0a4598fcf7,36444e531eb6d38,0eA3S0GqHt,0eA3S0GqHt,,,,,,
159,sms,0,2012-05-06 23:28:33.0,acc1a1e1bb9c368,320cfe559578234,A8DVFRC4Ga,A8DVFRC4Ga,,,,,,
160,Voice,12,2012-05-06 23:28:35.0,aaa512324e32c75,a14cbaf10f402c2,0ttcCQTcpb,0ttcCQTcpb,,,,,,
161,Voice,90,2012-05-06 23:28:35.0,53e62a529117bbc,b46034a5b54a59b,9/CstAxGD8,9/CstAxGD8,,,,,,
162,Voice,192,2012-05-06 23:28:36.0,ccc942fcd6b9b3e,701304e7ff9da87,0mXwALOFFi,0mXwALOFFi,,,,,,
163,Voice,9,2012-05-06 23:28:37.0,4aa67a2bcaa5b1d,94bb8f9ba490938,8lrPAakdPZ,8lrPAakdPZ,,,,,,
164,sms,0,2012-05-06 23:28:47.0,adac831fa5d80a3,f4c13ca546149ea,7F6i1EIq/7,7F6i1EIq/7,,,,,,
165,Voice,0,2012-05-06 23:29:01.0,d13c694a7a344d7,a393e26e84f93b3,3zwc9ry2i5,3zwc9ry2i5,,,,,,
166,sms,25,2012-05-06 23:29:02.0,eb020d1fe3dfa91,fc460c01823bb43,Co2R4AZ8Ux,Co2R4AZ8Ux,,,,,,
167,sms,0,2012-05-06 23:29:14.0,8457b1f9510b4b4,b7db0df467dae50,2aXXOLyR5M,2aXXOLyR5M,,,,,,
168,sms,0,2012-05-06 23:29:16.0,5b17fadcd6de6ca,0d8f780fbaa54e1,+QZ9qRtNxA,+QZ9qRtNxA,,,,,,
169,Voice,47,2012-05-06 23:29:26.0,6fadca672063cda,d7596b9504fe3fc,9Ex/t6MZkC,9Ex/t6MZkC,,,,,,
170,Voice,0,2012-05-06 23:29:28.0,03aa70b24a4409d,c6393d8c6da9642,8kLhFbpw0Y,8kLhFbpw0Y,,,,,,
171,sms,25,2012-05-06 23:29:29.0,f1925034411dc60,1f22d554bf8ddfa,6wAT3Dufmo,6wAT3Dufmo,,,,,,
172,sms,0,2012-05-06 23:29:32.0,5efc78eed0199e1,aaaf0e4bdec7311,8lrPAakdPZ,8lrPAakdPZ,,,,,,
173,sms,0,2012-05-06 23:29:40.0,cbd7a759ccd03d7,e09e736e46c5c3d,CiW7Jvq070,CiW7Jvq070,,,,,,
174,Voice,16,2012-05-06 23:29:45.0,4741bda5a0e920b,76446338dce9b4d,7vwqp+zGUZ,7vwqp+zGUZ,,,,,,
175,sms,0,2012-05-06 23:29:50.0,f336a52cfb3028b,f68760c9c8a025c,5GsUmPuoet,5GsUmPuoet,,,,,,
176,sms,0,2012-05-06 23:29:51.0,d7ec044e4279b11,d0442a8f5e3051f,2FzOAUm82C,2FzOAUm82C,,,,,,
177,sms,25,2012-05-06 23:29:53.0,6d99688d1ff9e7a,113e0b82148aa73,3IoIGy1+o8,3IoIGy1+o8,,,,,,
178,Voice,0,2012-05-06 23:29:56.0,13e81f502d5f86a,07c419df835a55e,5pIl0RaDmd,5pIl0RaDmd,,,,,,
179,sms,0,2012-05-06 23:30:14.0,f311f8235d2f293,7af76c2046e02f3,8Wvb3sNuru,8Wvb3sNuru,,,,,,
180,sms,0,2012-05-06 23:30:17.0,a1f29bc719e68e6,7af76c2046e02f3,7OeLONGBwT,7OeLONGBwT,,,,,,
181,Voice,2,2012-05-06 23:30:23.0,ac11c780e55a432,67b59bd31c80fc7,54Pb8dz/52,54Pb8dz/52,,,,,,
182,sms,0,2012-05-06 23:30:24.0,856d27736661cfa,93343ba6e41af95,CCN33/H+Pj,CCN33/H+Pj,,,,,,
183,sms,0,2012-05-06 23:30:36.0,203fac9f0b8f709,e1f442332719aa9,AvaRdAtM05,AvaRdAtM05,,,,,,
184,Voice,0,2012-05-06 23:30:40.0,278de666418b3d9,9f0272aba5c6c2b,4nNEPWLuOF,4nNEPWLuOF,,,,,,
185,Voice,22,2012-05-06 23:30:45.0,307cc5c09b64b98,f364ad7965d77de,08dxZmJxU8,08dxZmJxU8,,,,,,
186,Voice,14,2012-05-06 23:30:55.0,112dbbf61e0d422,d057a405a33ca31,3u865XIo6c,3u865XIo6c,,,,,,
187,Voice,40,2012-05-06 23:31:10.0,2d32cc2018eb445,f325ee3c5350da7,6wAT3Dufmo,6wAT3Dufmo,,,,,,
188,Voice,30,2012-05-06 23:31:12.0,9c684e1fa6dda04,44b886ba8fe8faf,35gi1DzgNK,35gi1DzgNK,,,,,,
189,Voice,56,2012-05-06 23:31:12.0,d4dcc9462277053,58757fc37d615e2,6fHCwYGXt4,6fHCwYGXt4,,,,,,
190,sms,25,2012-05-06 23:31:17.0,5f94851813df8c5,99bb46c7989ab14,4Y/9Swxhql,4Y/9Swxhql,,,,,,
191,sms,50,2012-05-06 23:31:23.0,4b226b00f59d3f2,c68b8fc6e0641bf,DJ9GKi9/72,DJ9GKi9/72,,,,,,
